outcome,contact_channel_group,contact_timing,cohort,src_risk_tier,segment_label,users,median__frequency,median__breadth,median__tenure,median__tt_cost,score__frequency,score__breadth,score__tenure,score__tt_cost,profile_magnitude,dominant_metric
Stopped,Online Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Stopped · Online Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,55,2.0,0.0,1180.0,372.294,-0.589041095890411,-0.5714285714285714,-0.4631217838765009,-0.2739511132843024,0.9813414411219652,frequency
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,28,22.0,4.0,1832.0,662.337,-0.3150684931506849,0.0,0.6552315608919382,0.603296753151827,0.944755802378935,tenure
Stopped,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,37,34.0,4.0,1815.0,656.0100000000001,-0.1506849315068493,0.0,0.6260720411663808,0.5841604621503503,0.8694340658458083,tenure
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk,27,1.0,0.0,1363.0,502.164,-0.6027397260273972,-0.5714285714285714,-0.14922813036020582,0.11884643885127792,0.8521850154132686,frequency
Stopped,Online Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Stopped · Online Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,34,82.5,7.0,1709.5,536.2965,0.5136986301369864,0.42857142857142855,0.44511149228130364,0.2220816929381934,0.8336691615332514,frequency
Stopped,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,3. Medium risk,Stopped · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 3. Medium risk,37,2.0,0.0,1391.0,494.172,-0.589041095890411,-0.5714285714285714,-0.10120068610634649,0.09467428179678078,0.8322889062067366,frequency
Saved,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Saved · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,78,87.5,7.0,1526.0,447.24299999999994,0.5821917808219178,0.42857142857142855,0.13036020583190394,-0.04726455183816702,0.7361035661979571,frequency
Stopped,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Stopped · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,49,37.0,5.0,1697.0,635.697,-0.1095890410958904,0.14285714285714285,0.4236706689536878,0.5227228963035029,0.6965299586128445,tt_cost
Stopped,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Stopped · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,117,82.0,7.0,1544.0,474.192,0.5068493150684932,0.42857142857142855,0.16123499142367068,0.034243889160537604,0.6839145151094441,frequency
Saved,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Saved · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,124,83.5,6.0,1567.0,382.284,0.5273972602739726,0.2857142857142857,0.2006861063464837,-0.2437359169661808,0.6778367308619192,frequency
Stopped,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Stopped · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,100,76.0,7.0,1573.5,519.8861666666667,0.4246575342465753,0.42857142857142855,0.2118353344768439,0.17244791482883587,0.6622839142255126,breadth
Saved,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Saved · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,27,69.0,7.0,1454.0,364.645,0.3287671232876712,0.42857142857142855,0.00686106346483705,-0.2970858516864357,0.6164968517411336,breadth
Stopped,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,3. Medium risk,Stopped · Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 3. Medium risk,47,8.0,2.0,1359.0,493.173,-0.5068493150684932,-0.2857142857142857,-0.15608919382504288,0.09165276216496855,0.6093381216435134,frequency
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,59,79.0,5.0,1453.0,411.588,0.4657534246575342,0.14285714285714285,0.005145797598627788,-0.15510467443302414,0.5112908713339482,frequency
Stopped,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Stopped · Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,50,16.0,2.0,1388.0,472.527,-0.3972602739726027,-0.2857142857142857,-0.10634648370497427,0.029208023107517283,0.5016084743585114,frequency
Stopped,Online Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Stopped · Online Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,124,14.5,3.0,1344.5,453.0388333333334,-0.4178082191780822,-0.14285714285714285,-0.18096054888507718,-0.02973479788483551,0.4781241990697677,frequency
Saved,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Saved · Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,78,70.0,6.0,1425.0,408.25800000000004,0.3424657534246575,0.2857142857142857,-0.04288164665523156,-0.1651764065390646,0.47753274885285646,frequency
Stopped,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Stopped · Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,89,21.0,3.0,1328.0,443.556,-0.3287671232876712,-0.14285714285714285,-0.20926243567753003,-0.05841604621503526,0.4191648673985529,frequency
Saved,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Saved · Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,34,44.0,4.0,1602.5,533.6325,-0.0136986301369863,0.0,0.26157804459691253,0.21402430725336102,0.338256012478796,tenure
Saved,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Saved · Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,82,64.5,5.0,1478.0,453.71250000000003,0.26712328767123283,0.14285714285714285,0.048027444253859346,-0.027697263291611516,0.30795582130720756,frequency
Saved,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Saved · Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,20,43.5,4.5,1438.5,493.33950000000004,-0.02054794520547945,0.07142857142857142,-0.01972555746140652,0.09215634877027062,0.12002561853339865,tt_cost
