field,row_count,non_null_count,null_count,null_pct,zero_count,negative_count,min,max,mean,median,std,p01,p05,p10,p25,p50,p75,p90,p95,p99,iqr,lower_bound,upper_bound,outlier_count,outlier_pct,repeated_call_group
frequency,20,20,0,0.0,2,0,0.0,91.0,48.4,43.5,33.396186356497275,0.0,0.0,5.4,20.0,43.5,78.25,89.1,90.05,90.81,58.25,-67.375,165.625,0,0.0,Contacted both ways
breadth,20,20,0,0.0,2,0,0.0,11.0,5.95,6.0,3.410124245305595,0.0,0.0,1.8000000000000003,4.0,6.0,9.0,10.100000000000001,11.0,11.0,5.0,-3.5,16.5,0,0.0,Contacted both ways
tenure,20,20,0,0.0,0,0,340.0,9496.0,1943.35,1453.5,1870.9370935161708,446.78,873.9000000000001,956.0,1235.0,1453.5,2005.75,2514.7000000000007,3331.4500000000044,8263.089999999991,770.75,78.875,3161.875,1,5.0,Contacted both ways
tt_cost,20,20,0,0.0,0,0,113.22000000000001,1579.5013333333336,555.5749500000001,555.8488333333333,340.7963352992273,120.21440666666668,148.19203333333334,219.7928666666667,306.8344166666667,555.8488333333333,679.07025,916.9245000000001,1030.2395166666672,1469.6489699999995,372.2358333333333,-251.5193333333333,1237.424,1,5.0,Contacted both ways
frequency,1498,1496,2,0.13351134846461948,181,0,0.0,91.0,45.6524064171123,45.0,34.54818022337919,0.0,0.0,0.0,9.0,45.0,82.0,90.0,91.0,91.0,73.0,-100.5,191.5,0,0.0,Other
breadth,1498,1496,2,0.13351134846461948,290,0,0.0,20.0,5.021390374331551,4.0,4.203622860803185,0.0,0.0,0.0,1.0,4.0,8.0,11.0,13.0,16.0,7.0,-9.5,18.5,1,0.06684491978609625,Other
tenure,1498,1496,2,0.13351134846461948,0,0,323.0,11789.0,1495.0401069518716,1450.0,796.5334566446259,325.0,358.75,675.0,1144.0,1450.0,1727.0,2321.0,2636.25,3625.5999999999894,583.0,269.5,2601.5,85,5.681818181818182,Other
tt_cost,1498,1496,2,0.13351134846461948,0,0,25.914,3925.7369999999996,504.4765900178253,462.87000000000006,337.2272752942127,108.22500000000001,119.76,169.16400000000002,289.96133333333336,462.87000000000006,620.5896666666666,825.1018333333334,999.875,1808.0521666666664,330.6283333333333,-205.98116666666652,1116.5321666666664,59,3.943850267379679,Other
frequency,13,12,1,7.6923076923076925,0,0,27.0,91.0,73.0,89.0,22.966378588156765,28.98,36.9,45.7,53.5,89.0,90.25,91.0,91.0,91.0,36.75,-1.625,145.375,0,0.0,Pay less than start rate
breadth,13,12,1,7.6923076923076925,0,0,2.0,14.0,6.0,5.0,3.4902461491731755,2.11,2.55,3.0,3.75,5.0,7.5,9.9,11.799999999999997,13.560000000000002,3.75,-1.875,13.125,1,8.333333333333332,Pay less than start rate
tenure,13,12,1,7.6923076923076925,0,0,357.0,3642.0,1619.9166666666667,1432.0,879.5676064080715,410.46,624.3,867.7,1248.25,1432.0,1725.5,2777.3,3227.2999999999993,3559.0600000000004,477.25,532.375,2441.375,3,25.0,Pay less than start rate
tt_cost,13,12,1,7.6923076923076925,0,0,50.988,1109.445,407.47655555555554,418.096,286.25001265999117,62.38323,107.96415000000002,157.6723,208.67325,418.096,450.2621666666667,701.7100666666668,898.717083333333,1067.2994166666667,241.5889166666667,-153.71012500000006,812.6455416666668,1,8.333333333333332,Pay less than start rate
