segment_field,segment_value,users,avg_frequency,median_frequency,p90_frequency,avg_breadth,median_breadth,p90_breadth,avg_tenure,median_tenure,p90_tenure,avg_tt_cost,median_tt_cost,p90_tt_cost
src_risk_tier,1. Low risk,547,69.17915904936015,82.0,91.0,6.755027422303473,7.0,12.0,1616.9323583180987,1556.0,2397.4,508.9566654478976,433.233,847.0349333333334
src_risk_tier,,516,39.416342412451364,32.0,88.0,4.566147859922179,4.0,10.699999999999989,1382.5933852140079,1381.0,2145.3999999999996,462.28205252918286,442.224,777.574
src_risk_tier,2. Med-Low risk,194,38.11340206185567,38.0,70.70000000000002,4.943298969072165,4.0,10.0,1798.0,1725.5,2518.2000000000003,674.1350979381443,624.8745,1117.0103666666669
src_risk_tier,3. Medium risk,167,12.29940119760479,6.0,36.80000000000001,2.1077844311377247,1.0,7.0,1295.2634730538923,1388.0,1661.8,495.56385229540916,484.182,799.7328
src_risk_tier,4. Med-High risk,73,10.219178082191782,4.0,27.39999999999999,2.164383561643836,1.0,6.0,1028.8082191780823,968.0,1481.8,338.76825114155247,305.694,500.41633333333334
src_risk_tier,5. High risk,1,1.0,1.0,1.0,1.0,1.0,1.0,1241.0,1241.0,1241.0,413.253,413.253,413.253
cohort,Three-Offer Cohort,982,48.91649694501018,52.0,91.0,5.259674134419552,5.0,11.0,1553.8971486761711,1471.5,2362.0,526.5621218601493,482.4253333333333,846.8622333333333
cohort,Two-Offer Cohort,516,39.416342412451364,32.0,88.0,4.566147859922179,4.0,10.699999999999989,1382.5933852140079,1381.0,2145.3999999999996,462.28205252918286,442.224,777.574
Treatment,Midpoint,601,45.490818030050086,45.0,90.0,5.090150250417362,5.0,11.0,1459.2737896494157,1422.0,2239.0,494.13082582081245,469.55899999999997,796.4154000000001
Treatment,Control,586,43.39590443686007,41.0,90.0,4.691126279863481,4.0,11.0,1482.4539249146758,1450.0,2299.5,488.77995676905573,449.3208333333333,803.198
Treatment,Tiered,311,50.21543408360129,55.0,91.0,5.511254019292605,5.0,12.0,1587.6430868167204,1480.0,2460.0,553.9792904608789,484.182,905.5469999999999
contact_channel_group,Called-In Cancel Flow,946,49.16313559322034,54.0,91.0,5.024364406779661,5.0,10.0,1519.7012711864406,1452.5,2393.0,501.5160766242938,462.204,817.9631
contact_channel_group,Online Cancel Flow,552,39.64855072463768,35.0,88.0,5.016304347826087,4.0,12.0,1452.8659420289855,1422.0,2170.3000000000006,509.53949698067635,478.85400000000004,826.6227333333334
outcome,Stopped,929,39.29094827586207,33.0,89.0,4.615301724137931,4.0,11.0,1475.2122844827586,1421.0,2248.900000000001,527.0146986350575,483.6825,840.0058000000001
outcome,Saved,569,56.04577464788732,65.5,91.0,5.684859154929577,5.0,11.0,1527.4348591549297,1454.0,2392.6,467.6537646713615,428.11783333333335,780.4188
contact_timing,Contact Before Pricing,965,45.49740932642487,45.0,90.0,5.098445595854923,4.0,11.0,1516.2569948186529,1451.0,2333.2,513.1180252158895,464.19033333333334,846.9096666666666
contact_timing,Contact On/After Pricing,533,45.93408662900188,45.0,90.0,4.88135593220339,4.0,11.0,1456.482109227872,1426.0,2266.0,488.7722868801004,462.204,791.874
