segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,frequency,42,42,69.5,30.5,87.75,57.25,14,14,6.0,0.0,36.25,36.25,63.5,26.987500000000022,79.51249999999993,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,breadth,42,42,6.0,2.25,8.75,6.5,14,14,1.5,0.0,4.5,4.5,4.5,1.0,6.5,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,tenure,42,42,1434.5,1101.5,1653.5,552.0,14,14,1224.0,507.5,1500.25,992.75,210.5,-142.1749999999997,973.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,tt_cost,42,42,420.246,258.54308333333336,543.509,284.96591666666666,14,14,287.3668333333333,168.9975,469.603,300.6055,132.87916666666666,-62.11698750000001,307.4518333333334,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,frequency,36,35,78.0,43.0,87.5,44.5,36,35,32.0,0.0,68.0,68.0,46.0,25.0,76.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,breadth,36,35,5.0,3.0,8.5,5.5,36,35,2.0,0.0,7.5,7.5,3.0,-1.0,6.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,tenure,36,35,1389.0,1123.5,1629.0,505.5,36,35,1419.0,1010.0,1580.5,570.5,-30.0,-210.0,292.17499999999905,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,tt_cost,36,35,396.1,252.87333333333333,558.1080000000001,305.2346666666667,36,35,474.52500000000003,290.709,545.787,255.07800000000003,-78.42500000000001,-183.81600000000003,64.50133333333332,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Tiered,frequency,0,0,,,,,0,0,,,,,,,,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Tiered,breadth,0,0,,,,,0,0,,,,,,,,2000,0.95
