segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,n__saved,n__stopped,total_users,observed_saved_share,supported,median_saved__frequency,median_saved__breadth,median_saved__tenure,median_saved__tt_cost,median_stopped__frequency,median_stopped__breadth,median_stopped__tenure,median_stopped__tt_cost,delta__frequency,delta__breadth,delta__tenure,delta__tt_cost,contrast_magnitude,dominant_metric
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,42,14,56,0.75,True,69.5,6.0,1434.5,420.246,6.0,1.5,1224.0,287.3668333333333,0.8698630136986301,0.6428571428571428,0.3610634648370497,0.4018989096518246,1.2090560483049464,frequency
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,36,36,72,0.5,True,78.0,5.0,1389.0,396.1,32.0,2.0,1419.0,474.52500000000003,0.6301369863013698,0.42857142857142855,-0.05145797598627788,-0.23719987700187023,0.7997860937994824,frequency
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Tiered,0,0,0,,False,,,,,,,,,,,,,,
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Control,8,4,12,0.6666666666666666,False,40.5,2.0,1455.0,484.51500000000004,36.0,2.0,1635.5,902.1824999999999,,,,,,
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,9,16,25,0.36,True,58.0,8.0,1174.0,474.192,19.0,3.5,1832.0,649.683,0.5342465753424657,0.6428571428571428,-1.1286449399656946,-0.5307802819883355,1.5014166036265169,tenure
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,3,8,11,0.2727272727272727,False,24.0,4.0,2490.0,829.1700000000001,27.5,6.0,1914.0,637.3620000000001,,,,,,
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,59,31,90,0.6555555555555556,True,60.0,6.0,1502.0,454.21200000000005,5.0,1.0,1300.0,443.556,0.7534246575342465,0.7142857142857142,0.346483704974271,0.03222954273932986,1.0949623269551942,frequency
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,23,58,81,0.2839506172839506,True,77.0,5.0,1468.0,421.911,39.0,4.0,1374.0,447.3855,0.5205479452054794,0.14285714285714285,0.16123499142367068,-0.07704875061120992,0.5686049234337428,frequency
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,0,0,0,,False,,,,,,,,,,,,,,
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,20,8,28,0.7142857142857143,True,46.0,4.0,1602.5,533.6325,34.5,1.0,1862.5,682.8518333333334,0.15753424657534246,0.42857142857142855,-0.4459691252144082,-0.4513204655781668,0.781709109276599,tt_cost
