field,row_count,non_null_count,null_count,null_pct,zero_count,negative_count,min,max,mean,median,std,p01,p05,p10,p25,p50,p75,p90,p95,p99,iqr,lower_bound,upper_bound,outlier_count,outlier_pct,population
frequency,7610,7604,6,0.07884362680683311,1585,0,0.0,91.0,38.417017359284586,28.0,35.409445572003136,0.0,0.0,0.0,2.0,28.0,77.0,90.0,91.0,91.0,75.0,-110.5,189.5,0,0.0,No Action yet
breadth,7610,7604,6,0.07884362680683311,2391,0,0.0,21.0,4.164781693845344,3.0,4.231256158381249,0.0,0.0,0.0,0.0,3.0,7.0,10.0,12.0,16.0,7.0,-10.5,17.5,21,0.2761704366123093,No Action yet
tenure,7610,7604,6,0.07884362680683311,0,0,208.0,27867.0,1380.8474487112046,1339.0,891.1475487124936,324.0,337.0,476.9000000000002,996.0,1339.0,1634.0,2062.0,2457.699999999999,3406.9400000000005,638.0,39.0,2591.0,270,3.5507627564439765,No Action yet
tt_cost,7610,7604,6,0.07884362680683311,32,0,0.0,9279.711,572.1071789847449,502.83000000000004,439.3387466089901,107.89200000000001,112.88700000000001,166.389,374.75,502.83000000000004,707.292,953.2140999999999,1278.5831666666645,1756.3107166666675,332.54200000000003,-124.06300000000005,1206.105,444,5.83903208837454,No Action yet
frequency,1739,1737,2,0.11500862564692352,229,0,0.0,91.0,44.55613126079447,43.0,34.58542134131132,0.0,0.0,0.0,8.0,43.0,81.0,90.0,91.0,91.0,73.0,-101.5,190.5,0,0.0,Called once — primary
breadth,1739,1737,2,0.11500862564692352,367,0,0.0,20.0,4.944732297063903,4.0,4.25001316753979,0.0,0.0,0.0,1.0,4.0,8.0,11.0,13.0,15.639999999999873,7.0,-9.5,18.5,2,0.11514104778353484,Called once — primary
tenure,1739,1737,2,0.11500862564692352,0,0,323.0,11789.0,1489.328727691422,1450.0,784.8016374816184,325.0,352.20000000000005,606.8000000000013,1144.0,1450.0,1733.0,2301.0,2629.2,3597.6799999999953,589.0,260.5,2616.5,89,5.1237766263673,Called once — primary
tt_cost,1739,1737,2,0.11500862564692352,0,0,25.914,4910.876666666666,509.9928587603148,465.068,349.36563677974397,108.01188,115.884,169.0464,292.41400000000004,465.068,623.709,825.4537333333334,1013.0927999999977,1782.111479999991,331.2949999999999,-204.52849999999984,1120.6515,71,4.087507196315487,Called once — primary
frequency,636,635,1,0.15723270440251574,31,0,0.0,91.0,56.034645669291336,65.0,32.48856236000106,0.0,1.0,5.0,25.5,65.0,88.0,91.0,91.0,91.0,62.5,-68.25,181.75,0,0.0,Called once and Saved
breadth,636,635,1,0.15723270440251574,72,0,0.0,18.0,5.707086614173228,5.0,4.089981240313201,0.0,0.0,0.0,2.0,5.0,9.0,11.0,13.0,16.0,7.0,-8.5,19.5,0,0.0,Called once and Saved
tenure,636,635,1,0.15723270440251574,0,0,323.0,10500.0,1512.9259842519684,1454.0,743.3587085599337,324.0,344.7,723.0,1147.0,1454.0,1788.5,2333.2,2631.3999999999996,3412.159999999985,641.5,184.75,2750.75,23,3.622047244094488,Called once and Saved
tt_cost,636,635,1,0.15723270440251574,0,0,36.455999999999996,3496.5,463.34348608923887,431.235,291.9187872134341,107.89200000000001,113.7861,165.601,274.0566666666666,431.235,574.0211666666667,761.7681333333334,891.6074999999996,1636.027119999996,299.96450000000004,-175.89008333333345,1023.9679166666667,18,2.8346456692913384,Called once and Saved
frequency,1103,1102,1,0.09066183136899365,198,0,0.0,91.0,37.94192377495463,30.0,34.035994772665866,0.0,0.0,0.0,3.0,30.0,74.0,88.0,91.0,91.0,71.0,-103.5,180.5,0,0.0,Called once and Stopped
breadth,1103,1102,1,0.09066183136899365,295,0,0.0,20.0,4.505444646098003,4.0,4.280096441837389,0.0,0.0,0.0,0.0,4.0,8.0,11.0,13.0,15.0,8.0,-12.0,20.0,0,0.0,Called once and Stopped
tenure,1103,1102,1,0.09066183136899365,0,0,323.0,11789.0,1475.7313974591652,1423.0,807.7348591141773,326.01,384.0,510.0,1141.25,1423.0,1716.0,2244.9,2608.9,3609.790000000001,574.75,279.125,2578.125,59,5.353901996370237,Called once and Stopped
tt_cost,1103,1102,1,0.09066183136899365,0,0,25.914,4910.876666666666,536.8733956442832,484.182,376.035513561329,108.56133000000001,152.87065,169.16400000000002,317.04025,484.182,653.0418333333334,848.8837,1127.2383000000002,1818.318,336.00158333333343,-186.96212500000013,1157.0442083333337,54,4.900181488203267,Called once and Stopped
