segment_field,segment_value,users,avg_frequency,median_frequency,p90_frequency,avg_breadth,median_breadth,p90_breadth,avg_tenure,median_tenure,p90_tenure,avg_tt_cost,median_tt_cost,p90_tt_cost
src_risk_tier,1. Low risk,616,68.97402597402598,82.0,91.0,6.829545454545454,7.0,12.0,1621.2581168831168,1565.0,2394.0,511.79662987012983,442.6308333333333,840.492
src_risk_tier,,606,38.336092715231786,30.0,88.0,4.355960264900662,3.0,10.0,1371.041390728477,1388.0,2032.0,464.80362251655623,442.224,781.1304333333335
src_risk_tier,2. Med-Low risk,227,37.607929515418505,38.0,69.0,5.026431718061674,4.0,10.0,1787.4537444933922,1726.0,2548.4,678.4653597650514,624.375,1120.7692000000002
src_risk_tier,3. Medium risk,205,11.863414634146341,5.0,34.599999999999994,2.1121951219512196,1.0,7.0,1309.2341463414634,1363.0,1664.8,520.2458634146342,484.182,816.1250666666665
src_risk_tier,4. Med-High risk,84,9.297619047619047,3.0,24.700000000000003,2.0952380952380953,1.0,6.0,1009.2142857142857,962.5,1481.0,342.54990476190477,321.5115,502.28206666666665
src_risk_tier,5. High risk,1,1.0,1.0,1.0,1.0,1.0,1.0,1241.0,1241.0,1241.0,413.253,413.253,413.253
cohort,Three-Offer Cohort,1133,47.87202118270079,48.0,90.0,5.258605472197705,5.0,11.0,1552.38746690203,1480.0,2362.0,534.083148867314,483.849,849.4396666666669
cohort,Two-Offer Cohort,606,38.336092715231786,30.0,88.0,4.355960264900662,3.0,10.0,1371.041390728477,1388.0,2032.0,464.80362251655623,442.224,781.1304333333335
Treatment,Midpoint,688,45.05393586005831,44.0,90.0,5.0276967930029155,4.0,11.0,1450.83527696793,1422.5,2239.0,497.31152866861026,467.047,797.085
Treatment,Control,686,41.89941690962099,38.0,90.0,4.600583090379009,4.0,11.0,1475.997084548105,1450.5,2268.5,498.3632638483965,453.3795,808.1863333333333
Treatment,Tiered,365,48.61369863013699,52.0,91.0,5.435616438356164,5.0,12.0,1586.731506849315,1481.0,2478.000000000001,555.6840767123288,493.173,898.6338000000001
contact_channel_group,Called-In Cancel Flow,1123,47.535236396074936,49.0,90.0,4.938447814451383,5.0,11.0,1509.8840321141838,1453.0,2362.0,507.40822301516505,462.87000000000006,817.4546666666666
contact_channel_group,Online Cancel Flow,616,39.13474025974026,33.0,88.0,4.9561688311688314,4.0,12.0,1451.922077922078,1422.0,2183.0,514.6963923160173,483.183,835.3026666666667
outcome,Stopped,1103,37.94192377495463,30.0,88.0,4.505444646098003,4.0,11.0,1475.7313974591652,1423.0,2244.9,536.873395644283,484.182,848.8837
outcome,Saved,636,56.034645669291336,65.0,91.0,5.707086614173228,5.0,11.0,1512.9259842519684,1454.0,2333.2,463.34348608923887,431.235,761.7681333333334
contact_timing,Contact Before Pricing,962,45.41787941787942,45.0,90.0,5.086278586278587,4.0,11.0,1516.7027027027027,1451.0,2332.0,513.1305970200971,464.1961666666667,846.8622333333333
contact_timing,Contact On/After Pricing,777,43.486451612903224,41.0,90.0,4.769032258064516,4.0,11.0,1455.3496774193547,1447.0,2244.6,506.0980146236559,469.20866666666666,799.9992000000001
