segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,frequency,59,59,69.0,24.5,87.0,62.5,31,31,1.0,0.0,34.5,34.5,68.0,41.0,78.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,breadth,59,59,5.0,3.0,7.5,4.5,31,31,0.0,0.0,3.5,3.5,5.0,2.0,6.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,tenure,59,59,1425.0,1027.5,1643.0,615.5,31,31,1454.0,901.5,1610.0,708.5,-29.0,-216.0,153.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,tt_cost,59,59,432.234,269.1298333333333,555.3683333333333,286.23850000000004,31,31,443.88899999999995,275.6813333333333,651.3480000000001,375.66666666666674,-11.654999999999973,-127.58499999999998,155.96866666666665,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,frequency,46,45,78.0,42.0,87.0,45.0,56,55,17.0,0.0,47.5,47.5,61.0,31.0,77.02499999999986,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,breadth,46,45,5.0,3.0,9.0,6.0,56,55,1.0,0.0,7.0,7.0,4.0,2.0,6.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,tenure,46,45,1381.0,1118.0,1622.0,504.0,56,55,1425.0,1063.0,1642.5,579.5,-44.0,-270.0499999999999,120.0,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,tt_cost,46,45,394.17333333333335,259.407,534.465,275.05800000000005,56,55,518.148,339.77049999999997,618.1056666666666,278.3351666666666,-123.97466666666668,-171.21525,-9.990000000000009,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Tiered,frequency,0,0,,,,,0,0,,,,,,,,2000,0.95
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Tiered,breadth,0,0,,,,,0,0,,,,,,,,2000,0.95
