segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,n__saved,n__stopped,total_users,observed_saved_share,supported,median_saved__frequency,median_saved__breadth,median_saved__tenure,median_saved__tt_cost,median_stopped__frequency,median_stopped__breadth,median_stopped__tenure,median_stopped__tt_cost,delta__frequency,delta__breadth,delta__tenure,delta__tt_cost,contrast_magnitude,dominant_metric
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Control,59,31,90,0.6555555555555556,True,69.0,5.0,1425.0,432.234,1.0,0.0,1454.0,443.88899999999995,0.9315068493150684,0.7142857142857142,-0.04923599320882852,-0.03518012647338467,1.175402448644498,frequency
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Midpoint,46,56,102,0.45098039215686275,True,78.0,5.0,1381.0,394.17333333333335,17.0,1.0,1425.0,518.148,0.8356164383561644,0.5714285714285714,-0.07470288624787776,-0.37421230826504087,1.0818506445747273,frequency
0,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Tiered,0,0,0,,False,,,,,,,,,,,,,,
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Control,9,5,14,0.6428571428571429,True,38.0,2.0,1212.0,403.596,28.0,2.0,1726.0,796.869,0.136986301369863,0.0,-0.8726655348047538,-1.1870779818590687,1.4796839248345106,tt_cost
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,12,25,37,0.32432432432432434,True,47.5,8.0,1299.0,488.511,25.0,4.0,1785.0,596.0699999999999,0.3082191780821918,0.5714285714285714,-0.8251273344651953,-0.32466231002580764,1.098986081629559,tenure
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,6,16,22,0.2727272727272727,True,41.5,4.5,2320.0,772.56,25.5,4.0,2059.0,685.6469999999999,0.2191780821917808,0.07142857142857142,0.4431239388794568,0.2623432288443833,0.5642019739934756,tenure
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,58,31,89,0.651685393258427,True,60.5,6.0,1488.5,453.71250000000003,5.0,1.0,1300.0,443.556,0.7602739726027397,0.7142857142857142,0.3200339558573854,0.030656967355378296,1.0915961604911222,frequency
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,23,58,81,0.2839506172839506,True,77.0,5.0,1468.0,421.911,39.0,4.0,1374.0,447.3855,0.5205479452054794,0.14285714285714285,0.15959252971137522,-0.07689370500611233,0.5681203604274329,frequency
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,0,0,0,,False,,,,,,,,,,,,,,
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,23,25,48,0.4791666666666667,True,69.0,6.0,1482.0,371.961,62.0,5.0,1576.0,438.122,0.0958904109589041,0.14285714285714285,-0.15959252971137522,-0.19970419112875237,0.30814716236441164,tt_cost
